title,company,location,date,blurb,tags,link,id,provider,query,locale,wage,remoteness,state_zip,state,city,lower_wage,upper_wage,type,converted_yearly_lower,converted_yearly_upper,job_level
ITSM Analyst,Teachers Federal Credit Union,"Hauppauge, NY 11788",2024-10-30,"The ITSM Analyst performs various IT asset administration duties related to hardware, software, and service contracts. The Analyst administers systems for tracking IT asset life cycles, managing…","Job types: Full-time
Benefits: Dental insurance, Tuition reimbursement, Paid time off, Vision insurance, 401(k) matching, Employee discount
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=379ccbad90483d0a,IndeedScraperUSAEng_379ccbad90483d0a,IndeedScraperUSAEng,Data,USA_ENGLISH,$30.75 - $37 hourly,UNKNOWN, NY 11788,NY,Hauppauge,,,,,,Mid-Level
Data Science & ML Coding Trainer,Outlier,"Raleigh, NC",2024-11-10,Outlier helps the world’s most innovative companies improve their AI models by providing human feedback. Are you an experienced software engineer who would like to lend your coding expertise to…,"Job types: Contract
Job types cc: Contract, Freelance
Schedules: Overtime",https://www.indeed.com/m/viewjob?jk=a8ad39bfec247b29,IndeedScraperUSAEng_a8ad39bfec247b29,IndeedScraperUSAEng,Data,USA_ENGLISH,$30 - $30 hourly,UNKNOWN, NC,NC,Raleigh,,,,,,Mid-Level
Senior Manager for Data Analytics and Insights,Mo Chat,"Shelton, CT",2024-10-17,"Ability to manage complex data analysis and translate insights into actionable recommendations. Experience with data visualization tools like Looker Studio, Tableau, and Excel.","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=349b93688b5213d3,IndeedScraperUSAEng_349b93688b5213d3,IndeedScraperUSAEng,Data,USA_ENGLISH,$110000 - $140000 yearly,UNKNOWN, CT,CT,Shelton,,,,,,Senior-Level
Enterprise Tech - Sr. Business Analyst,PRICE WATERHOUSE COOPERS,"Greensboro, NC",2024-11-16,"We have skilled technologists, data scientists, product managers and business strategists who are using technology to accelerate change. They design, develop and manage activities for a specific…","Remote: Remote
Benefits: Paid holidays, Health insurance, Dental insurance, 401(k), Vision insurance",https://www.indeed.com/m/viewjob?jk=cdada3d90ad199f1,IndeedScraperUSAEng_cdada3d90ad199f1,IndeedScraperUSAEng,Data,USA_ENGLISH,$124000 - $280000 yearly,FULLY_REMOTE, NC,NC,Greensboro,,,,,,Senior-Level
"Data Analyst, Capital Projects and Reporting",NJ Transit,"Newark, NJ 07105",2024-10-30,"Work with the legacy systems for data management, ensuring accurate data entry, retrieval, and integration. Experience with data visualization tools like Power BI. Pre-Tax Commuter Benefits Plan.","Benefits: 401(a), Commuter assistance, 457(b), Health insurance, Dental insurance, 401(k), Flexible spending account, Tuition reimbursement, 401(k) 6% Match, Vision insurance, Life insurance",https://www.indeed.com/m/viewjob?jk=3f3a479a99318891,IndeedScraperUSAEng_3f3a479a99318891,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, NJ 07105,NJ,Newark,,,,,,Mid-Level
Document & Data Management Specialist I (PDDM),Fluor Corporation,"Raleigh, NC",2024-11-20,"This position will provide support for any role in Project Document & Data Management (PDDM) in an efficient manner while maintaining effective communication with Project Client, Engineering…","Benefits: AD&D insurance, Disability insurance, Health insurance, Dental insurance, Paid time off, Parental leave, Employee assistance program, Vision insurance, 401(k) matching, Life insurance, Paid sick time",https://www.indeed.com/m/viewjob?jk=42ffd60aa08ddb9a,IndeedScraperUSAEng_42ffd60aa08ddb9a,IndeedScraperUSAEng,Data,USA_ENGLISH,$50000 - $84000 yearly,UNKNOWN, NC,NC,Raleigh,,,,,,Mid-Level
Database Engineer,PTEC Solutions,"Fremont, CA 94539",2024-10-21,"R proficiency for data curation and exploratory data analysis. Analyzes & develops complex data and enhance the process models, logical data base designs, & data definitions.",,https://www.indeed.com/m/viewjob?jk=511a3ba3277929c1,IndeedScraperUSAEng_511a3ba3277929c1,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, CA 94539,CA,Fremont,,,,,,Mid-Level
Part-time Data Quality Analyst (Fraud Investigation),owl.co,"New York, NY",2024-11-08,"Analyze external claimant data for quality, completeness, and accuracy. Conduct investigations utilizing open data sources and in partnership with Owl’s AI. Must be available 25-30 hours per week.","Job types: Part-time
Remote: Remote
Benefits: Referral program
Job types cc: Part-time",https://www.indeed.com/m/viewjob?jk=7c61e0fb0b9940fc,IndeedScraperUSAEng_7c61e0fb0b9940fc,IndeedScraperUSAEng,Data,USA_ENGLISH,$20 - $20 hourly,FULLY_REMOTE, NY,NY,New York,,,,,,Mid-Level
"Software Engineering Manager II, Google Cloud Data Management",Google,"Sunnyvale, CA",2024-11-15,"Teams work all across the company, in areas such as information retrieval, artificial intelligence, natural language processing, distributed computing, large-scale system design, networking, security,…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=6e053756b60acbfb,IndeedScraperUSAEng_6e053756b60acbfb,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, CA,CA,Sunnyvale,,,,,,Senior-Level
Head of Monetization - Platform & Data,Rippling,"San Francisco, CA 94105",2024-10-10,"Thorough understanding of the modern data stack with extensive experience in discussing the technical details of data infrastructure, data consumption, and data application layers.","Job types: Full-time
Remote: Hybrid work
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=5ecb0db7fbdbb1b4,IndeedScraperUSAEng_5ecb0db7fbdbb1b4,IndeedScraperUSAEng,Data,USA_ENGLISH,$200000 - $280000 yearly,TEMPORARILY_REMOTE, CA 94105,CA,San Francisco,,,,,,Senior-Level
Data Scientist,Amentum,"Fort Liberty, NC 28307",2024-10-25,"Formulate and lead guided, multifaceted analytic studies against large volumes of data to interpret and analyze data using exploratory mathematic and statistical techniques based on the scientific…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=a2c3c03ad4c00c46,IndeedScraperUSAEng_a2c3c03ad4c00c46,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, NC 28307,NC,Fort Liberty,,,,,,Senior-Level
JReview & EDC System Business Analyst - 5516830,Accenture,"Irving, TX",2024-11-13,"Accenture Flex offers you the flexibility of local fixed-duration project-based work powered by Accenture, a leading global professional services company. Research, gather, and synthesize information.","Job types: Full-time
Remote: Remote
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=b31fdbf1d1a7c3f9,IndeedScraperUSAEng_b31fdbf1d1a7c3f9,IndeedScraperUSAEng,Data,USA_ENGLISH,,FULLY_REMOTE, TX,TX,Irving,,,,,,Senior-Level
Critical Operations Manager,QTS Data Centers,"Irving, TX 75063",2024-11-05,"Seven or more years data center environment or professional equivalent experience. This leader should have experience with mechanical and electrical data center infrastructure, codes, regulations,…","Job types: Full-time
Benefits: Wellness program, Health savings account, Paid holidays, Disability insurance, Health insurance, Dental insurance, 401(k), Tuition reimbursement, Military leave, Paid time off, Parental leave, Employee assistance program, Vision insurance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=3ee4d9f872f5f5fd,IndeedScraperUSAEng_3ee4d9f872f5f5fd,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, TX 75063,TX,Irving,,,,,,Senior-Level
Data Privacy Coordinator,Morgan Lewis,"Philadelphia, PA",2024-10-03,Oversee firmwide data mapping activities and preparation of record of processing. We welcome candidates who have an interest in the growing field of data privacy.,"Job types: Full-time
Remote: Hybrid work
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=91ffb1a3cfd78bc3,IndeedScraperUSAEng_91ffb1a3cfd78bc3,IndeedScraperUSAEng,Data,USA_ENGLISH,,TEMPORARILY_REMOTE, PA,PA,Philadelphia,,,,,,Mid-Level
Data Engineer,Forward Air,"Irving, TX 75063",2024-10-05,"Build and maintain documentation on data catalog, data model and data lineage. Experience with optimizing data pipelines. 5+ years of experience in data engineering.","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=29ab9d5cc8170f99,IndeedScraperUSAEng_29ab9d5cc8170f99,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, TX 75063,TX,Irving,,,,,,Mid-Level
GCP Data Engineer - A6773,Nisum,"Plano, TX",2024-10-22,Solid understanding of data warehousing concepts and ETL processes. Manage legacy ETL processes and utilize Talend for data transformation. Strong proficiency in SQL and large-scale data processing.,"Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=e30bf5f41f761124,IndeedScraperUSAEng_e30bf5f41f761124,IndeedScraperUSAEng,Data,USA_ENGLISH,$110000 - $120000 yearly,UNKNOWN, TX,TX,Plano,,,,,,Mid-Level
Support Insight Data Scientist,Apple,"Sunnyvale, CA",2024-11-13,"Demonstrated experience in leading data science projects through all phases including exploratory data analysis, data quality management, modeling, tool deployment, and presentation of results.","Benefits: Employee stock purchase plan, Health insurance, Dental insurance, RSU, Retirement plan",https://www.indeed.com/m/viewjob?jk=fa6319fc15d07798,IndeedScraperUSAEng_fa6319fc15d07798,IndeedScraperUSAEng,Data,USA_ENGLISH,$165500 - $248700 yearly,UNKNOWN, CA,CA,Sunnyvale,,,,,,Senior-Level
"Associate Director, Sales Data Management, Data Strategy and Governance",Gilead Sciences,"Foster City, CA",2024-11-08,"Design and maintain a data quality framework tailored to commercial data management, actively identifying and addressing potential data integrity issues to deliver high-quality data to analytics and…","Job types: Full-time
Benefits: Health insurance, Dental insurance, Paid time off, Vision insurance, Life insurance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=6f85c0fe87b052c6,IndeedScraperUSAEng_6f85c0fe87b052c6,IndeedScraperUSAEng,Data,USA_ENGLISH,$177905 - $230230 yearly,UNKNOWN, CA,CA,Foster City,,,,,,Senior-Level
Digital Analyst,Human Appeal,"Irving, TX",2024-10-18,"Proactively seek opportunities to leverage data for improved decision-making, identifying new ways to integrate data insights into strategic planning. Perform Technical Data Analysis & Reporting:",,https://www.indeed.com/m/viewjob?jk=d5c9557b4fc7243f,IndeedScraperUSAEng_d5c9557b4fc7243f,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, TX,TX,Irving,,,,,,Mid-Level
Staff Machine Learning Engineer,Hive,"San Francisco, CA",2024-10-06,"Maintain awareness of industry best practices for data maintenance handling as it relates to your role. You are an expert in scripting languages such as Python and/or shell scripts, particularly for…","Job types: Full-time
Job types cc: Full-time
Schedules: Monday to Friday",https://www.indeed.com/m/viewjob?jk=53491ab67c60ef16,IndeedScraperUSAEng_53491ab67c60ef16,IndeedScraperUSAEng,Data,USA_ENGLISH,$200000 - $300000 yearly,UNKNOWN, CA,CA,San Francisco,,,,,,Mid-Level
Staff Data Engineer,Citizen Health,"San Mateo, CA",2024-10-05,"Champion a data-centric approach throughout the organization, aligning data strategies with business objectives. Passion for improving data systems and solving complex data challenges, particularly…","Job types: Full-time
Remote: Hybrid work
Benefits: Stock options, Health insurance, Unlimited paid time off, Dental insurance, Vision insurance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=64d4e59899e2b233,IndeedScraperUSAEng_64d4e59899e2b233,IndeedScraperUSAEng,Data,USA_ENGLISH,$200000 - $230000 yearly,TEMPORARILY_REMOTE, CA,CA,San Mateo,,,,,,Mid-Level
"Lead, Data Analyst",TransUnion,"White Plains, NY",2024-10-17,"Ability to perform data analytics to draw insights out of data and develop a storyline for client presentations. Minimum 3-4 years’ work experience preferably in retail banking, payments industry,…","Job types: Full-time
Benefits: Partner benefits, Employee stock purchase plan, Disability insurance, Tuition reimbursement, Paid time off, Adoption assistance, Parental leave, Retirement plan
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=26d4aa6c44a0c21e,IndeedScraperUSAEng_26d4aa6c44a0c21e,IndeedScraperUSAEng,Data,USA_ENGLISH,$70300 - $112200 yearly,UNKNOWN, NY,NY,White Plains,,,,,,Senior-Level
Data Engineer,Kustomer,"New York, NY",2024-10-09,"This role requires a deep understanding of both the technical and strategic aspects of big data solutions, including data modeling, data warehousing, and data integration.","Job types: Full-time
Benefits: Stock options, Health insurance, 401(k), Cell phone reimbursement
Job types cc: Full-time
Schedules: On call",https://www.indeed.com/m/viewjob?jk=a2c255265df719c1,IndeedScraperUSAEng_a2c255265df719c1,IndeedScraperUSAEng,Data,USA_ENGLISH,$140000 - $185000 yearly,UNKNOWN, NY,NY,New York,,,,,,Mid-Level
Online Booking Data Entry Operator,Wanderlust Travel,"Sacramento, CA",2024-11-16,Maintain data accuracy and integrity. Assist in generating reports and analyzing booking data. Proficiency in data entry and accuracy in inputting information.,"Job types: Part-time
Remote: Remote
Job types cc: Part-time",https://www.indeed.com/m/viewjob?jk=33270b0af6a8ec74,IndeedScraperUSAEng_33270b0af6a8ec74,IndeedScraperUSAEng,Data,USA_ENGLISH,$80 - $90 hourly,FULLY_REMOTE, CA,CA,Sacramento,,,,,,Entry-Level
"Associate Analyst, Analytics and Data Services",Yale University,"New Haven, CT 06510",2024-10-15,"Researches, gathers data and provides recommendations. Knowledge of external higher education surveys and data mining tools. Develop, design and produce standard and ad hoc reports based on data…","Job types: Full-time
Remote: Hybrid work
Job types cc: Full-time
Schedules: Evenings as needed, Monday to Friday",https://www.indeed.com/m/viewjob?jk=c0ea29d591fef4de,IndeedScraperUSAEng_c0ea29d591fef4de,IndeedScraperUSAEng,Data,USA_ENGLISH,,TEMPORARILY_REMOTE, CT 06510,CT,New Haven,,,,,,Mid-Level
"Area Security Manager, Google Data Centers",Google,"Red Oak, TX",2024-10-29,"3 years of experience with data center technologies, infrastructure, and methodologies. From developing and maintaining our data centers to building the next generation of Google platforms, we make…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=ea3cae2f11b80a92,IndeedScraperUSAEng_ea3cae2f11b80a92,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, TX,TX,Red Oak,,,,,,Senior-Level
"Senior, Data Scientist",Walmart,"San Bruno, CA 94066",2024-11-20,"Responsible for Walmart's data platform, data processing, data integrations and data solutions working with internal and external partners. 5+ years of relevant experience in roles with responsibility…","Benefits: Paid jury duty, Paid parental leave, Employee stock purchase plan, Disability insurance, Health insurance, Dental insurance, 401(k), Military leave, Paid time off, Family leave, Parental leave, Vision insurance, 401(k) matching, Life insurance, Paid sick time",https://www.indeed.com/m/viewjob?jk=3e4dcd9dcd2b45db,IndeedScraperUSAEng_3e4dcd9dcd2b45db,IndeedScraperUSAEng,Data,USA_ENGLISH,$90000 - $234000 yearly,UNKNOWN, CA 94066,CA,San Bruno,,,,,,Senior-Level
Database Analyst,EGB Technology Services,"Stamford, CT 06905",2024-10-20,"Years of Experience Required: 5+. Description::Database Analyst with Bachelors Degree with at least 5+yrs of experience with a knowledge of SharePoint forms SQL queries and Scripting, SQL Reporting,…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=45d3a504aef309f6,IndeedScraperUSAEng_45d3a504aef309f6,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, CT 06905,CT,Stamford,,,,,,Mid-Level
Quality Assurance Data - QAD,E-Business International,"Hauppauge, NY",2024-11-01,"Familiarity with ERP best practices and a commitment to maintaining data integrity. Your initial responsibility will be to lead the upgrade implementation, configuration, and ongoing support of *QAD…","Job types: Full-time
Shifts: 8 hour shift, Day shift
Remote: Remote
Benefits: Health insurance, Dental insurance, 401(k)
Job types cc: Full-time
Schedules: 8 hour shift, Day shift",https://www.indeed.com/m/viewjob?jk=6758dfaaccb8d64a,IndeedScraperUSAEng_6758dfaaccb8d64a,IndeedScraperUSAEng,Data,USA_ENGLISH,,FULLY_REMOTE, NY,NY,Hauppauge,,,,,,Senior-Level
Data Administrative Assistant,JONATHAN Y DESIGNS,"New York, NY 10016",2024-10-03,"Ensure data quality and completeness of all record. An eye for detail, and propensity to question data. Create, update and manage product catalog across wholesale accounts with emphasis on data entry…","Job types: Full-time
Benefits: Health insurance, Dental insurance, 401(k), Paid time off, Vision insurance
Job types cc: Full-time
Schedules: Monday to Friday",https://www.indeed.com/m/viewjob?jk=4f7e16dd179fae23,IndeedScraperUSAEng_4f7e16dd179fae23,IndeedScraperUSAEng,Data,USA_ENGLISH,$45000 - $-1 yearly,UNKNOWN, NY 10016,NY,New York,,,,,,Entry-Level
"Principal Statistical Programmer (Oncology), FSP",Fortrea,"Durham, NC",2024-11-02,"As a leading global contract research organization (CRO) with a passion for scientific rigor and decades of clinical development experience, Fortrea provides pharmaceutical, biotechnology, and medical…","Job types: Full-time
Remote: Remote
Benefits: Employee stock purchase plan, Disability insurance, Health insurance, Dental insurance, 401(k), Paid time off, Vision insurance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=6c291803d2efea64,IndeedScraperUSAEng_6c291803d2efea64,IndeedScraperUSAEng,Data,USA_ENGLISH,$110000 - $145000 yearly,FULLY_REMOTE, NC,NC,Durham,,,,,,Senior-Level
Energy Data Coordinator,FirstService Residential,"New York, NY 10017",2024-10-05,"Job Overview: As Data Coordinator, you will be responsible for working quickly and efficiently in a high-paced environment while remaining focused on their daily tasks and responsibilities. This…","Job types: Full-time
Benefits: Paid holidays, Disability insurance, Health insurance, Dental insurance, Paid time off, Employee assistance program, Vision insurance, 401(k) matching, Life insurance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=0079d1743821a4a9,IndeedScraperUSAEng_0079d1743821a4a9,IndeedScraperUSAEng,Data,USA_ENGLISH,$21.63 - $26.44 hourly,UNKNOWN, NY 10017,NY,New York,,,,,,Mid-Level
"Consumption Lead, Data Cloud",Salesforce,"New York, NY 10036",2024-10-03,"Data Ethics and Privacy: Commitment to data ethics and privacy, ensuring customer solutions adhere to relevant regulations and best practices in data security and privacy.","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=6694d01c9b399827,IndeedScraperUSAEng_6694d01c9b399827,IndeedScraperUSAEng,Data,USA_ENGLISH,$141050 - $220850 yearly,UNKNOWN, NY 10036,NY,New York,,,,,,Senior-Level
Anaplan Analyst,V R Della IT Services Private Limited,"Sunnyvale, CA",2024-11-02,Must have Anaplan Level 3 model builder certification. Must have a Minimum of 3 years of experience as Anaplan model building (at least one completed Anaplan project implementation experience).,"Job types: Full-time, Contract
Shifts: 8 hour shift
Job types cc: Full-time, Contract
Schedules: 8 hour shift, Monday to Friday",https://www.indeed.com/m/viewjob?jk=9a9833dcd2e0079d,IndeedScraperUSAEng_9a9833dcd2e0079d,IndeedScraperUSAEng,Data,USA_ENGLISH,$90 - $95 hourly,UNKNOWN, CA,CA,Sunnyvale,,,,,,Mid-Level
Data Analyst,Montclair State University,"Montclair, NJ 07043",2024-11-16,Review data for accuracy and consistency. Experience in a role with data analysis & interpretation responsibilities. Use SQL to build queries for data extraction or use in reports.,"Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=fb9147ae421c2591,IndeedScraperUSAEng_fb9147ae421c2591,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, NJ 07043,NJ,Montclair,,,,,,Mid-Level
Senior Business Analyst,Caliber Holdings LLC,"Lewisville, TX 75057",2024-10-25,"Observational skills, to validate data obtained via other techniques and expose new areas of opportunity. Assist in the acquisition and merger process to include data conversions and process re…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=ce5cfe13e57e125e,IndeedScraperUSAEng_ce5cfe13e57e125e,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, TX 75057,TX,Lewisville,,,,,,Senior-Level
"Sr. Program Manager, TA Data Enablement",Atlassian,"San Francisco, CA 94104",2024-10-03,"Knowledge of data management, data governance, and data analytics best practices. Collaborate with cross-functional teams, including data scientists, analysts, and engineers to drive data initiatives…","Job types: Full-time
Remote: Remote
Benefits: Health insurance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=8a7cb82851c0a929,IndeedScraperUSAEng_8a7cb82851c0a929,IndeedScraperUSAEng,Data,USA_ENGLISH,$111800 - $179500 yearly,FULLY_REMOTE, CA 94104,CA,San Francisco,,,,,,Senior-Level
"Mailroom- Tag Processing Clerk - Staten Island, NY",Adaptation,"Staten Island, NY",2024-10-09,"Working under the general direction of Tag Processing Supervisor, the Tag Processing Clerk will perform the required and assigned functions in a timely manner and accurate.","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=377dad3b04911115,IndeedScraperUSAEng_377dad3b04911115,IndeedScraperUSAEng,Data,USA_ENGLISH,$16 - $16 hourly,UNKNOWN, NY,NY,Staten Island,,,,,,Senior-Level
"Data Scientist III, Research",Google,"Mountain View, CA",2024-10-10,"Use custom data infrastructure or existing data models as appropriate, using specialized knowledge. Independently format, re-structure, or validate data to ensure quality, and review the dataset to…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=ee606356b9bea26d,IndeedScraperUSAEng_ee606356b9bea26d,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, CA,CA,Mountain View,,,,,,Senior-Level
AWS Tech Lead/Senior Developer,NTT DATA,"McKinney, TX 75069",2024-11-06,"As an AWS ETL Engineer, you will use modern technology stack, techniques to develop, design, engineer automation capabilities, upgrades, and support platform.",Remote: Hybrid work,https://www.indeed.com/m/viewjob?jk=785d26cbec3475b1,IndeedScraperUSAEng_785d26cbec3475b1,IndeedScraperUSAEng,Data,USA_ENGLISH,,TEMPORARILY_REMOTE, TX 75069,TX,McKinney,,,,,,Senior-Level
Data Specialist,BayOne,"San Francisco, CA",2024-10-10,"Design, develop and implement end-to-end solutions on google cloud platform - big query, cloud composer, apache airflow; strong ability to translate business requirements into technical design plan.",,https://www.indeed.com/m/viewjob?jk=cafee45a74fa7415,IndeedScraperUSAEng_cafee45a74fa7415,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, CA,CA,San Francisco,,,,,,Mid-Level
"Staff Data Scientist, Product",Google,"Raleigh, NC",2024-10-09,"You will weave stories with meaningful insight from data. As a data-loving member of the team, you serve as an analytics expert for your partners, using numbers to help them make better decisions.","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=8664b6ce37b5fe77,IndeedScraperUSAEng_8664b6ce37b5fe77,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, NC,NC,Raleigh,,,,,,Entry-Level
Data Modeler,Bright Vision Technologies,"Plano, TX 75023",2024-10-31,"Solid understanding of data warehousing, ETL processes, and data integration. Proven experience as a Data Modeler and worked with data analysts, data architects and business stakeholders to ensure…","Job types: Contract
Job types cc: Contract",https://www.indeed.com/m/viewjob?jk=553af81103cda3e9,IndeedScraperUSAEng_553af81103cda3e9,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, TX 75023,TX,Plano,,,,,,Mid-Level
Analytics Developer I,Baylor Scott & White Health,"Dallas, TX 75246",2024-10-29,"Gathers data from multiple sources, examines data and creates metrics to drive clinical and operational performance improvement. Gather and document data requirements from customers.","Benefits: Health insurance, Tuition reimbursement, Paid time off",https://www.indeed.com/m/viewjob?jk=fd08af07f10ff591,IndeedScraperUSAEng_fd08af07f10ff591,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, TX 75246,TX,Dallas,,,,,,Mid-Level
Business Analyst (Property & Casualty Insurance),NTT DATA,"Bala-Cynwyd, PA 19004",2024-10-05,"Responsible for data analysis and provide insights on the data to the customers. Responsible for business analysis, troubleshooting and resolution of requests and incidents while adhering to…",Remote: Hybrid work,https://www.indeed.com/m/viewjob?jk=291bfd8a0a6403f2,IndeedScraperUSAEng_291bfd8a0a6403f2,IndeedScraperUSAEng,Data,USA_ENGLISH,,TEMPORARILY_REMOTE, PA 19004,PA,Bala-Cynwyd,,,,,,Mid-Level
AI-ML Engineer/Architect,Realign LLC,"New York, NY",2024-10-20,"Knowledge of statistical modeling and data analysis techniques. Collaborate with data scientists, software engineers, and other stakeholders to gather requirements.","Job types: Contract
Job types cc: Contract",https://www.indeed.com/m/viewjob?jk=fc5a298033ab3df9,IndeedScraperUSAEng_fc5a298033ab3df9,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, NY,NY,New York,,,,,,Mid-Level
"Software Engineer (Framework - Solutions), Ai & Data Platforms",Apple,"Sunnyvale, CA",2024-11-02,"Working experience with Big data technologies and data platforms. As a Framework Software Engineer, you will be responsible for building various tools and features for Data and ML platforms, including…","Benefits: Employee stock purchase plan, Health insurance, Dental insurance, RSU, Retirement plan",https://www.indeed.com/m/viewjob?jk=fa08e7637a989e6f,IndeedScraperUSAEng_fa08e7637a989e6f,IndeedScraperUSAEng,Data,USA_ENGLISH,$143100 - $264200 yearly,UNKNOWN, CA,CA,Sunnyvale,,,,,,Mid-Level
Senior Analyst-Amex Offers Strategy,Amex,"New York, NY",2024-10-29,"The U.S. Consumer Services Team is responsible for our suite of consumer products, services, and experiences in the U.S., including our premium, cobrand, cash back, and lending portfolios, Membership…","Remote: Hybrid work
Benefits: Paid parental leave, Health insurance, Dental insurance, Parental leave, Vision insurance, Life insurance, Retirement plan",https://www.indeed.com/m/viewjob?jk=ede1ab7f9fe86ca8,IndeedScraperUSAEng_ede1ab7f9fe86ca8,IndeedScraperUSAEng,Data,USA_ENGLISH,$55000 - $105000 yearly,TEMPORARILY_REMOTE, NY,NY,New York,,,,,,Senior-Level
Data Entry Specialist Part Time Evenings,CarVision Inc.,"Norristown, PA 19403",2024-10-09,"Job Description* Ensuring for the Dealership quality of paper work and data for each deal. Ability to define problems, collect data, establish facts, and draw valid conclusions.","Job types: Full-time
Shifts: Evening shift
Job types cc: Full-time
Schedules: Evening shift",https://www.indeed.com/m/viewjob?jk=a8d7be13e447295f,IndeedScraperUSAEng_a8d7be13e447295f,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, PA 19403,PA,Norristown,,,,,,Mid-Level
Home Care Data Entry Associate,"Independent Living, Inc.","Newburgh, NY 12550",2024-11-14,Proficient with data entry and software navigation. Prior experience with Medisked or other homecare data management software. Performs data entry which includes but is not limited to the following:…,"Job types: Full-time
Benefits: Paid holidays, Health insurance, Dental insurance, 401(k), Flexible spending account, Paid time off, Vision insurance, Flexible schedule, Life insurance
Job types cc: Full-time
Schedules: Monday to Friday",https://www.indeed.com/m/viewjob?jk=0c3a84513d173f44,IndeedScraperUSAEng_0c3a84513d173f44,IndeedScraperUSAEng,Data,USA_ENGLISH,$22 - $23 hourly,UNKNOWN, NY 12550,NY,Newburgh,,,,,,Mid-Level
Infor XA Analyst,Nava,"Greenville, NC 27834",2024-10-06,Hybrid – 3 days per week on site. This is a functional analyst with XA experience (they are on v10 but any XA experience works). Someone with other Infor ERP experience (LN or LX) may work.,"Job types: Full-time
Shifts: Day shift
Benefits: Health insurance, Dental insurance, 401(k)
Job types cc: Full-time
Schedules: Day shift, Monday to Friday",https://www.indeed.com/m/viewjob?jk=4e054795b68282dc,IndeedScraperUSAEng_4e054795b68282dc,IndeedScraperUSAEng,Data,USA_ENGLISH,$83506.46 - $84824.99 yearly,UNKNOWN, NC 27834,NC,Greenville,,,,,,Mid-Level
Data Entry Operator,PetData Inc,"Dallas, TX 75247",2024-10-22,"Hours and Pay Rate: Full-time, onsite only. Hours are Monday-Friday. Duties: Enter customer data by inputting alphabetic and numeric information on keyboard and 10 key. Data entry personnel may be…","Job types: Full-time
Job types cc: Full-time
Schedules: Monday to Friday",https://www.indeed.com/m/viewjob?jk=6efbff34561a5ba6,IndeedScraperUSAEng_6efbff34561a5ba6,IndeedScraperUSAEng,Data,USA_ENGLISH,$17 - $17 hourly,UNKNOWN, TX 75247,TX,Dallas,,,,,,Entry-Level
